# number of requirements
100
# number of tasks
4 1 5 2 1 5 4 5 1 2 2 1 3 1 5 2 2 5 4 5 1 4 3 2 3 3 3 1 3 4 1 1 1 5 5 4 2 3 3 4 3 1 1 2 1 5 4 2 4 1 3 5 4 4 1 4 4 4 4 5 4 2 5 2 5 3 3 2 4 3 3 4 5 1 1 4 2 1 5 5 1 3 3 1 2 3 3 5 1 5 4 3 5 1 1 3 2 3 4 3
# requirement 0
4.1 3.3 1.0
7.8 4.3 1.0
# requirement 27
2.3 5.5 1.0
# requirement 28
9.7 3.1 7.0
7.4 8.1 7.0
6.2 1.2 9.0
# requirement 29
1.1 7.1 1.0
9.4 3.4 10.0
2.2 2.3 2.0
3.7 7.0 10.0
# requirement 30
9.3 1.2 2.0
# requirement 31
5.7 8.1 3.0
# requirement 32
9.7 8.5 8.0
# requirement 33
5.5 7.1 4.0
7.6 5.5 8.0
8.8 7.8 10.0
6.1 3.9 9.0
8.2 8.9 6.0
# requirement 34
2.0 6.9 4.0
9.2 8.4 9.0
5.5 3.8 9.0
2.8 8.9 6.0
3.4 6.6 6.0
# requirement 35
2.1 3.7 8.0
4.3 10.0 7.0
6.4 6.7 8.0
4.6 8.4 9.0
# requirement 36
6.5 7.6 4.0
5.5 8.7 2.0
# requirement 37
2.7 6.6 8.0
1.6 4.0 1.0
6.7 4.2 7.0
# requirement 38
8.1 4.1 7.0
5.7 4.5 8.0
3.0 9.0 6.0
# requirement 39
5.5 6.7 9.0
4.6 9.3 6.0
2.9 2.6 9.0
3.3 7.5 4.0
# requirement 40
1.1 3.1 1.0
2.7 8.5 9.0
1.9 2.8 3.0
# requirement 41
4.7 7.5 6.0
# requirement 42
5.8 2.1 8.0
# requirement 43
2.8 2.2 9.0
9.6 7.9 1.0
# requirement 44
5.0 4.2 9.0
# requirement 45
9.5 4.3 4.0
4.2 8.1 2.0
4.3 5.3 10.0
6.2 1.2 9.0
1.2 4.4 9.0
# requirement 46
4.6 1.7 3.0
7.5 5.1 1.0
8.3 5.9 5.0
3.2 8.1 4.0
# requirement 47
8.7 9.0 7.0
3.8 1.6 6.0
# requirement 48
6.9 2.6 3.0
2.8 3.9 1.0
1.4 7.3 9.0
1.4 1.8 9.0
# requirement 49
9.5 7.8 10.0
# requirement 50
9.4 6.2 1.0
5.7 9.7 5.0
1.9 1.1 3.0
# requirement 51
4.6 1.5 6.0
8.3 2.8 7.0
1.7 2.5 1.0
7.1 8.3 9.0
4.4 1.9 5.0
# requirement 52
4.5 5.3 5.0
1.5 4.2 10.0
6.2 3.3 2.0
4.6 7.0 2.0
# requirement 53
2.8 5.1 10.0
8.5 4.2 4.0
6.6 8.8 10.0
4.0 4.3 4.0
# requirement 54
8.4 2.2 10.0
# requirement 55
8.7 4.3 3.0
1.5 3.6 1.0
7.2 2.5 9.0
6.9 9.9 1.0
# requirement 56
2.6 3.2 10.0
5.6 5.3 2.0
1.6 6.0 7.0
6.2 8.1 2.0
# requirement 57
5.9 7.9 3.0
5.0 8.6 1.0
7.8 2.6 8.0
7.6 6.5 1.0
# requirement 58
2.1 8.8 10.0
4.0 6.0 6.0
7.9 4.9 1.0
1.4 7.3 2.0
# requirement 59
5.9 1.8 2.0
1.5 9.5 6.0
5.1 3.8 7.0
1.2 2.9 5.0
4.6 8.9 8.0
# requirement 60
2.3 9.4 3.0
9.7 5.6 9.0
7.8 7.8 3.0
8.2 4.2 6.0
# requirement 61
5.3 3.7 6.0
6.6 1.7 6.0
# requirement 62
8.2 7.0 2.0
6.9 2.3 1.0
2.5 3.9 2.0
1.6 3.0 10.0
8.6 9.0 6.0
# requirement 63
2.4 8.0 8.0
4.3 7.0 7.0
# requirement 64
8.0 5.0 1.0
9.6 3.4 9.0
1.8 5.0 3.0
5.3 7.1 10.0
5.6 8.7 7.0
# requirement 65
5.4 3.9 9.0
9.4 1.5 3.0
3.9 7.0 8.0
# requirement 66
3.3 9.8 2.0
5.9 2.0 10.0
5.7 7.3 8.0
# requirement 67
4.9 1.3 4.0
9.1 5.9 5.0
# requirement 68
9.0 6.7 7.0
9.9 2.6 7.0
3.6 8.9 6.0
6.8 3.8 6.0
# requirement 69
8.3 4.8 10.0
1.2 3.0 7.0
9.3 9.5 2.0
# requirement 70
5.3 6.3 2.0
8.3 8.4 6.0
9.9 9.9 5.0
# requirement 71
8.1 7.6 5.0
3.2 9.6 5.0
3.3 5.1 4.0
5.0 1.7 9.0
# requirement 72
1.4 3.7 3.0
4.9 8.2 8.0
4.0 4.5 6.0
1.2 9.2 6.0
6.1 4.3 4.0
# requirement 73
9.0 3.2 3.0
# requirement 74
7.6 8.4 5.0
# requirement 75
8.0 6.7 6.0
9.7 5.6 2.0
5.1 3.4 1.0
8.0 7.7 8.0
# requirement 76
3.1 1.8 7.0
1.4 6.0 10.0
# requirement 77
2.6 1.4 7.0
# requirement 78
9.3 8.2 7.0
4.9 9.3 8.0
8.0 9.1 7.0
3.7 7.8 10.0
2.6 2.1 7.0
# requirement 79
6.3 8.5 2.0
4.9 4.8 7.0
7.3 1.0 1.0
8.5 2.9 1.0
6.9 4.5 10.0
# requirement 80
5.9 3.9 2.0
# requirement 81
9.6 8.2 7.0
7.3 4.6 7.0
3.1 1.4 9.0
# requirement 82
8.7 4.6 6.0
1.3 3.1 6.0
9.7 1.5 6.0
# requirement 83
6.6 2.3 7.0
# requirement 84
8.6 5.2 10.0
6.4 4.3 1.0
# requirement 85
4.7 5.9 6.0
7.8 9.8 1.0
8.1 3.5 3.0
# requirement 86
6.6 2.1 1.0
1.2 5.7 6.0
4.5 2.4 5.0
# requirement 87
7.0 8.7 1.0
7.7 2.6 2.0
8.8 3.0 6.0
5.6 4.1 7.0
3.2 3.5 1.0
# requirement 88
3.8 2.5 1.0
# requirement 89
6.1 3.3 3.0
6.9 5.6 7.0
1.6 1.3 2.0
2.6 3.7 10.0
3.9 1.0 4.0
# requirement 90
2.2 2.0 3.0
9.7 9.7 7.0
3.3 5.1 3.0
9.8 4.9 9.0
# requirement 91
6.0 8.1 7.0
3.2 3.4 1.0
4.0 6.6 9.0
# requirement 92
7.8 6.1 3.0
2.8 2.5 4.0
5.5 2.6 4.0
2.1 3.5 3.0
6.7 7.3 9.0
# requirement 93
2.3 4.8 8.0
# requirement 94
2.6 6.7 2.0
# requirement 95
6.5 9.3 2.0
9.4 6.6 3.0
6.4 2.2 4.0
# requirement 96
6.2 1.8 10.0
7.8 5.1 6.0
# requirement 97
7.4 5.4 3.0
8.6 5.6 7.0
9.0 6.4 4.0
# requirement 98
8.8 5.0 10.0
7.7 3.8 3.0
6.4 3.0 2.0
7.5 6.3 6.0
# requirement 99
4.5 2.7 10.0
6.8 9.3 7.0
2.1 5.1 2.0
